wikidata_id
Q16967
Q4970
Q1011103
Q9385136
Q58235
Q42664
Q1191987
Q58178
Q1361347
Q10931032
Q10270889
Q1204548
Q58210
Q1023793
Q1023774
Q42780
No wikidata
Q1226419
Q706161
Q706161
Q42635
Q713357
Q41705
Q68481
Q11146687
Q1033221
Q766619
Q5639130
No wikidata
Q262208
Q1168209
Q204827
Q68814
Q14420305
Q68695
Q68744
Q4764330
Q1374978
Q128883
Q1337868
Q241877
Q1374581
Q28794829
Q1152183
Q14471971
No wikidata
Q68919
Q1149660
Q68579
Q17031936
Q1337926
Q639862
Q639862
Q94945
Q1025451
Q781559
Q1375194
Q7808213
Q1198091
Q1198324
Q1337959
Q1198385
Q22502
Q249996
Q570509
Q7420445
No wikidata
Q31106
Q43684
Q208471
Q10911308
Q404817
Q1014420
Q1014420
Q1356703
Q557934
Q71323
Q927929
Q71323
Q14135188
Q1198857
No wikidata
Q1359319
Q45761
Q266014
Q1199641
No wikidata
Q11133842
Q40956
Q114045
Q4358404
Q1357710
No wikidata
Q16963
Q16666
Q8044278
Q13721719
Q31853195
Q57970
Q1015788
Q428587
Q42651
Q1197421
Q57958
Q925293
Q57818
Q42622
Q113497198
Q662101
Q788812
Q11104671
No wikidata
No wikidata
Q11055382
Q662694
Q662241
Q11094342
Q8686
Q46536920
Q1875153
Q57906
Q1253949
Q661828
No wikidata
Q57052
Q171943
Q11065388
Q28794376
Q521512
Q1356725
Q15176
Q189633
Q571652
Q15175
Q14773
Q3319473
Q14342082
Q16572
Q59218
No wikidata
Q6482357
Q1081204
Q1022249
No wikidata
Q11181853
Q1209167
Q934465
Q1346617
No wikidata
No wikidata
No wikidata
No wikidata
No wikidata
No wikidata
Q59164
Q47097
Q956
Q956
Q4578286
Q1156678
Q11736
Q393836
Q197678
Q645183
Q1601618
Q1197955
Q474923
Q58584
Q1196631
Q1015480
Q46913
Q72778
Q1196978
Q73156
Q1197219
Q1197307
Q1332080
Q14105968
Q612136
Q18111423
Q197104
Q197104
Q473451
Q43407
Q170247
Q217681
No wikidata
Q14782428
Q1198234
Q17008118
Q373687
Q373687
Q10428329
Q1360781
Q10870440
No wikidata
Q1207099
Q47974
Q5826
Q198072
Q280060
No wikidata
Q727188
Q1201362
Q1339355
Q515573
Q1069968
No wikidata
Q1201504
Q19770
Q30002
Q10475921
Q11725
Q10887586
Q43194
